smiles,value,assay,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
N=C(N)c1cccc(CN2CC[C@H](NS(=O)(=O)c3ccc(-c4ccncc4)s3)C2=O)c1,7.33,CHEMBL3885768,12.841695115450527,-3.8172831952582587,12.841695115450527,0.03952049052808704,0.3713984078724347,455.5650000000001,434.3970000000002,455.10858153199996,160,0,0.250295000420669,-0.38368198531542286,0.38368198531542286,0.250295000420669,1.2258064516129032,2.0,2.7419354838709675,32.24811271270204,10.104354281854445,2.3493490346912727,-2.173259869331286,2.3044209770389803,-2.4055579186804317,7.91306779137006,-0.12908494720532632,1.439929238712591,1224.576916717433,22.009860921691388,16.48519221715439,18.11818537900984,14.831337023048247,9.580308997037715,11.879968825559835,7.190965205992687,10.215562780091823,5.0173282887146975,8.11516112992373,3.444169125536204,5.99610477623752,-3.079999999999999,13373893.346234674,21.16345429259501,8.577116148065414,4.656155996156871,183.84665985838117,10.633577208012664,16.08663979242731,0.0,5.907179729351506,10.023291153407584,0.0,15.18779931081055,8.417796984328938,4.722094864452088,11.336785877934737,18.19910120538483,47.87955994862805,35.9237986404496,0.0,13.212334168400758,33.1028765464511,5.409283605791522,14.605983116249774,5.733667477162185,23.216598035508625,6.544756405912575,72.05152667431304,0.0,10.440598685398296,10.455762341614273,0.0,0.0,11.336785877934737,42.63108198629594,21.36258474339198,5.409283605791522,17.547724606320003,65.13380286844111,0.0,10.440598685398296,0.0,129.24,16.065131982555545,13.212334168400758,0.0,15.951978692630853,25.073785926448156,27.340836055030028,0.0,47.625432216384674,18.19910120538483,9.706073385399296,11.142951082953708,28.406204455483856,1.1501484262526689,19.18854902083039,7.543590438947172,7.838959570675996,-0.3008941876449296,13.256430495835955,3.7001693480868614,0.7841256267902885,-3.8172831952582587,0.19047619047619047,31,4,8,0,1,1,1,2,3,6,3,10,7,0,1,1,4,2.17357,119.15160000000002,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,2,2,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
N=C(N)c1cccc(CN2CC[C@H](NS(=O)(=O)c3ccc(-c4ccncc4)s3)C2=O)c1,7.39,CHEMBL3885772,12.841695115450527,-3.8172831952582587,12.841695115450527,0.03952049052808704,0.3713984078724347,455.5650000000001,434.3970000000002,455.10858153199996,160,0,0.250295000420669,-0.38368198531542286,0.38368198531542286,0.250295000420669,1.2258064516129032,2.0,2.7419354838709675,32.24811271270204,10.104354281854445,2.3493490346912727,-2.173259869331286,2.3044209770389803,-2.4055579186804317,7.91306779137006,-0.12908494720532632,1.439929238712591,1224.576916717433,22.009860921691388,16.48519221715439,18.11818537900984,14.831337023048247,9.580308997037715,11.879968825559835,7.190965205992687,10.215562780091823,5.0173282887146975,8.11516112992373,3.444169125536204,5.99610477623752,-3.079999999999999,13373893.346234674,21.16345429259501,8.577116148065414,4.656155996156871,183.84665985838117,10.633577208012664,16.08663979242731,0.0,5.907179729351506,10.023291153407584,0.0,15.18779931081055,8.417796984328938,4.722094864452088,11.336785877934737,18.19910120538483,47.87955994862805,35.9237986404496,0.0,13.212334168400758,33.1028765464511,5.409283605791522,14.605983116249774,5.733667477162185,23.216598035508625,6.544756405912575,72.05152667431304,0.0,10.440598685398296,10.455762341614273,0.0,0.0,11.336785877934737,42.63108198629594,21.36258474339198,5.409283605791522,17.547724606320003,65.13380286844111,0.0,10.440598685398296,0.0,129.24,16.065131982555545,13.212334168400758,0.0,15.951978692630853,25.073785926448156,27.340836055030028,0.0,47.625432216384674,18.19910120538483,9.706073385399296,11.142951082953708,28.406204455483856,1.1501484262526689,19.18854902083039,7.543590438947172,7.838959570675996,-0.3008941876449296,13.256430495835955,3.7001693480868614,0.7841256267902885,-3.8172831952582587,0.19047619047619047,31,4,8,0,1,1,1,2,3,6,3,10,7,0,1,1,4,2.17357,119.15160000000002,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,2,2,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
N=C(N)c1cccc(CN2CC[C@H](NS(=O)(=O)c3ccc(-c4ccncc4)s3)C2=O)c1,7.19,CHEMBL3885774,12.841695115450527,-3.8172831952582587,12.841695115450527,0.03952049052808704,0.3713984078724347,455.5650000000001,434.3970000000002,455.10858153199996,160,0,0.250295000420669,-0.38368198531542286,0.38368198531542286,0.250295000420669,1.2258064516129032,2.0,2.7419354838709675,32.24811271270204,10.104354281854445,2.3493490346912727,-2.173259869331286,2.3044209770389803,-2.4055579186804317,7.91306779137006,-0.12908494720532632,1.439929238712591,1224.576916717433,22.009860921691388,16.48519221715439,18.11818537900984,14.831337023048247,9.580308997037715,11.879968825559835,7.190965205992687,10.215562780091823,5.0173282887146975,8.11516112992373,3.444169125536204,5.99610477623752,-3.079999999999999,13373893.346234674,21.16345429259501,8.577116148065414,4.656155996156871,183.84665985838117,10.633577208012664,16.08663979242731,0.0,5.907179729351506,10.023291153407584,0.0,15.18779931081055,8.417796984328938,4.722094864452088,11.336785877934737,18.19910120538483,47.87955994862805,35.9237986404496,0.0,13.212334168400758,33.1028765464511,5.409283605791522,14.605983116249774,5.733667477162185,23.216598035508625,6.544756405912575,72.05152667431304,0.0,10.440598685398296,10.455762341614273,0.0,0.0,11.336785877934737,42.63108198629594,21.36258474339198,5.409283605791522,17.547724606320003,65.13380286844111,0.0,10.440598685398296,0.0,129.24,16.065131982555545,13.212334168400758,0.0,15.951978692630853,25.073785926448156,27.340836055030028,0.0,47.625432216384674,18.19910120538483,9.706073385399296,11.142951082953708,28.406204455483856,1.1501484262526689,19.18854902083039,7.543590438947172,7.838959570675996,-0.3008941876449296,13.256430495835955,3.7001693480868614,0.7841256267902885,-3.8172831952582587,0.19047619047619047,31,4,8,0,1,1,1,2,3,6,3,10,7,0,1,1,4,2.17357,119.15160000000002,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,2,2,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
N=C(N)c1cccc(CN2CC[C@H](NS(=O)(=O)c3ccc(-c4ccncc4)s3)C2=O)c1,7.22,CHEMBL3885775,12.841695115450527,-3.8172831952582587,12.841695115450527,0.03952049052808704,0.3713984078724347,455.5650000000001,434.3970000000002,455.10858153199996,160,0,0.250295000420669,-0.38368198531542286,0.38368198531542286,0.250295000420669,1.2258064516129032,2.0,2.7419354838709675,32.24811271270204,10.104354281854445,2.3493490346912727,-2.173259869331286,2.3044209770389803,-2.4055579186804317,7.91306779137006,-0.12908494720532632,1.439929238712591,1224.576916717433,22.009860921691388,16.48519221715439,18.11818537900984,14.831337023048247,9.580308997037715,11.879968825559835,7.190965205992687,10.215562780091823,5.0173282887146975,8.11516112992373,3.444169125536204,5.99610477623752,-3.079999999999999,13373893.346234674,21.16345429259501,8.577116148065414,4.656155996156871,183.84665985838117,10.633577208012664,16.08663979242731,0.0,5.907179729351506,10.023291153407584,0.0,15.18779931081055,8.417796984328938,4.722094864452088,11.336785877934737,18.19910120538483,47.87955994862805,35.9237986404496,0.0,13.212334168400758,33.1028765464511,5.409283605791522,14.605983116249774,5.733667477162185,23.216598035508625,6.544756405912575,72.05152667431304,0.0,10.440598685398296,10.455762341614273,0.0,0.0,11.336785877934737,42.63108198629594,21.36258474339198,5.409283605791522,17.547724606320003,65.13380286844111,0.0,10.440598685398296,0.0,129.24,16.065131982555545,13.212334168400758,0.0,15.951978692630853,25.073785926448156,27.340836055030028,0.0,47.625432216384674,18.19910120538483,9.706073385399296,11.142951082953708,28.406204455483856,1.1501484262526689,19.18854902083039,7.543590438947172,7.838959570675996,-0.3008941876449296,13.256430495835955,3.7001693480868614,0.7841256267902885,-3.8172831952582587,0.19047619047619047,31,4,8,0,1,1,1,2,3,6,3,10,7,0,1,1,4,2.17357,119.15160000000002,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,2,2,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
O=C1[C@@H](NS(=O)(=O)c2cc3ncccc3s2)CCN1Cc1cc2ccncc2[nH]1,7.56,CHEMBL3885768,12.773431035254628,-3.7903195139396417,12.773431035254628,0.16719213019357304,0.5078897455813611,427.51100000000025,410.3750000000002,427.0772814040001,148,0,0.2503767047142233,-0.35565387418891475,0.35565387418891475,0.2503767047142233,1.2758620689655173,2.1724137931034484,3.0,32.248108971883134,10.265976663236232,2.3518892574309214,-2.158472470254688,2.2793273259112667,-2.4056755533242327,7.914048301574906,-0.12912501504650373,1.3109241406917378,1261.8878003823033,20.00986092169139,15.200355005085468,16.833348166940922,13.99313306559672,9.068097748678563,11.367757577200681,6.93205705685053,9.956654630949666,4.965549801973957,8.000355339322361,3.553111564274014,6.131898586515853,-2.8199999999999994,7547262.195040371,18.22395451896529,6.903359044138017,3.3894040642807837,170.1915193070743,9.883888251797686,10.25102000667004,0.0,5.907179729351506,10.023291153407584,0.0,14.76249422596624,8.417796984328938,4.722094864452088,11.336785877934737,0.0,36.75265696523406,30.018595758451987,28.47492132922728,13.212334168400758,48.38680232686024,0.0,24.57394015814419,0.0,23.216598035508625,6.544756405912575,54.61629405199574,0.0,0.0,4.722094864452088,0.0,0.0,11.336785877934737,46.76341924243309,21.36258474339198,0.0,12.114749617774471,53.13154523466936,0.0,21.119545566166423,0.0,108.04999999999998,16.065131982555545,13.212334168400758,0.0,10.116358906873586,25.02703515236742,32.63355872133336,6.06636706846161,29.556807514151316,18.19910120538483,19.67403042729371,0.0,29.074258365326568,1.1458311455018217,25.932966709676823,1.025249741551877,2.4266283086730702,-0.21797015411102683,8.247385221413207,5.510974660343156,0.8949955155641485,-3.7903195139396417,0.21052631578947367,29,2,8,0,1,1,0,4,4,6,2,10,5,0,1,1,5,2.252,109.85720000000002,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,3,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0
O=C1[C@@H](NS(=O)(=O)c2cc3ncccc3s2)CCN1Cc1cc2ccncc2[nH]1,7.64,CHEMBL3885772,12.773431035254628,-3.7903195139396417,12.773431035254628,0.16719213019357304,0.5078897455813611,427.51100000000025,410.3750000000002,427.0772814040001,148,0,0.2503767047142233,-0.35565387418891475,0.35565387418891475,0.2503767047142233,1.2758620689655173,2.1724137931034484,3.0,32.248108971883134,10.265976663236232,2.3518892574309214,-2.158472470254688,2.2793273259112667,-2.4056755533242327,7.914048301574906,-0.12912501504650373,1.3109241406917378,1261.8878003823033,20.00986092169139,15.200355005085468,16.833348166940922,13.99313306559672,9.068097748678563,11.367757577200681,6.93205705685053,9.956654630949666,4.965549801973957,8.000355339322361,3.553111564274014,6.131898586515853,-2.8199999999999994,7547262.195040371,18.22395451896529,6.903359044138017,3.3894040642807837,170.1915193070743,9.883888251797686,10.25102000667004,0.0,5.907179729351506,10.023291153407584,0.0,14.76249422596624,8.417796984328938,4.722094864452088,11.336785877934737,0.0,36.75265696523406,30.018595758451987,28.47492132922728,13.212334168400758,48.38680232686024,0.0,24.57394015814419,0.0,23.216598035508625,6.544756405912575,54.61629405199574,0.0,0.0,4.722094864452088,0.0,0.0,11.336785877934737,46.76341924243309,21.36258474339198,0.0,12.114749617774471,53.13154523466936,0.0,21.119545566166423,0.0,108.04999999999998,16.065131982555545,13.212334168400758,0.0,10.116358906873586,25.02703515236742,32.63355872133336,6.06636706846161,29.556807514151316,18.19910120538483,19.67403042729371,0.0,29.074258365326568,1.1458311455018217,25.932966709676823,1.025249741551877,2.4266283086730702,-0.21797015411102683,8.247385221413207,5.510974660343156,0.8949955155641485,-3.7903195139396417,0.21052631578947367,29,2,8,0,1,1,0,4,4,6,2,10,5,0,1,1,5,2.252,109.85720000000002,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,3,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0
O=C1[C@@H](NS(=O)(=O)c2cc3ncccc3s2)CCN1Cc1cc2ccncc2[nH]1,7.56,CHEMBL3885774,12.773431035254628,-3.7903195139396417,12.773431035254628,0.16719213019357304,0.5078897455813611,427.51100000000025,410.3750000000002,427.0772814040001,148,0,0.2503767047142233,-0.35565387418891475,0.35565387418891475,0.2503767047142233,1.2758620689655173,2.1724137931034484,3.0,32.248108971883134,10.265976663236232,2.3518892574309214,-2.158472470254688,2.2793273259112667,-2.4056755533242327,7.914048301574906,-0.12912501504650373,1.3109241406917378,1261.8878003823033,20.00986092169139,15.200355005085468,16.833348166940922,13.99313306559672,9.068097748678563,11.367757577200681,6.93205705685053,9.956654630949666,4.965549801973957,8.000355339322361,3.553111564274014,6.131898586515853,-2.8199999999999994,7547262.195040371,18.22395451896529,6.903359044138017,3.3894040642807837,170.1915193070743,9.883888251797686,10.25102000667004,0.0,5.907179729351506,10.023291153407584,0.0,14.76249422596624,8.417796984328938,4.722094864452088,11.336785877934737,0.0,36.75265696523406,30.018595758451987,28.47492132922728,13.212334168400758,48.38680232686024,0.0,24.57394015814419,0.0,23.216598035508625,6.544756405912575,54.61629405199574,0.0,0.0,4.722094864452088,0.0,0.0,11.336785877934737,46.76341924243309,21.36258474339198,0.0,12.114749617774471,53.13154523466936,0.0,21.119545566166423,0.0,108.04999999999998,16.065131982555545,13.212334168400758,0.0,10.116358906873586,25.02703515236742,32.63355872133336,6.06636706846161,29.556807514151316,18.19910120538483,19.67403042729371,0.0,29.074258365326568,1.1458311455018217,25.932966709676823,1.025249741551877,2.4266283086730702,-0.21797015411102683,8.247385221413207,5.510974660343156,0.8949955155641485,-3.7903195139396417,0.21052631578947367,29,2,8,0,1,1,0,4,4,6,2,10,5,0,1,1,5,2.252,109.85720000000002,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,3,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0
O=C1[C@@H](NS(=O)(=O)c2cc3ncccc3s2)CCN1Cc1cc2ccncc2[nH]1,7.56,CHEMBL3885775,12.773431035254628,-3.7903195139396417,12.773431035254628,0.16719213019357304,0.5078897455813611,427.51100000000025,410.3750000000002,427.0772814040001,148,0,0.2503767047142233,-0.35565387418891475,0.35565387418891475,0.2503767047142233,1.2758620689655173,2.1724137931034484,3.0,32.248108971883134,10.265976663236232,2.3518892574309214,-2.158472470254688,2.2793273259112667,-2.4056755533242327,7.914048301574906,-0.12912501504650373,1.3109241406917378,1261.8878003823033,20.00986092169139,15.200355005085468,16.833348166940922,13.99313306559672,9.068097748678563,11.367757577200681,6.93205705685053,9.956654630949666,4.965549801973957,8.000355339322361,3.553111564274014,6.131898586515853,-2.8199999999999994,7547262.195040371,18.22395451896529,6.903359044138017,3.3894040642807837,170.1915193070743,9.883888251797686,10.25102000667004,0.0,5.907179729351506,10.023291153407584,0.0,14.76249422596624,8.417796984328938,4.722094864452088,11.336785877934737,0.0,36.75265696523406,30.018595758451987,28.47492132922728,13.212334168400758,48.38680232686024,0.0,24.57394015814419,0.0,23.216598035508625,6.544756405912575,54.61629405199574,0.0,0.0,4.722094864452088,0.0,0.0,11.336785877934737,46.76341924243309,21.36258474339198,0.0,12.114749617774471,53.13154523466936,0.0,21.119545566166423,0.0,108.04999999999998,16.065131982555545,13.212334168400758,0.0,10.116358906873586,25.02703515236742,32.63355872133336,6.06636706846161,29.556807514151316,18.19910120538483,19.67403042729371,0.0,29.074258365326568,1.1458311455018217,25.932966709676823,1.025249741551877,2.4266283086730702,-0.21797015411102683,8.247385221413207,5.510974660343156,0.8949955155641485,-3.7903195139396417,0.21052631578947367,29,2,8,0,1,1,0,4,4,6,2,10,5,0,1,1,5,2.252,109.85720000000002,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,3,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0
Cc1cccc2cc(C(=O)NC3CCN(C(C)C)CC3)n(Cc3cc(-c4ccc(Cl)s4)on3)c12,8.84,CHEMBL3885768,13.44732749031405,-0.03485747497652203,13.44732749031405,0.03485747497652203,0.35689594339845016,497.0640000000003,467.8320000000002,496.16997484800004,178,0,0.2676718851375108,-0.35509157456229723,0.35509157456229723,0.2676718851375108,1.2352941176470589,2.0294117647058822,2.735294117647059,35.496017843604086,10.033875208005622,2.247188389553049,-2.344201777649755,2.3189292217194026,-2.464626407463953,7.1883081107002615,0.08919337578111608,1.4120248463401628,1313.557318634478,23.819261998449893,19.676036459540065,21.248461986486245,16.385050488558726,11.738582305568576,12.933043359505529,9.292177893306901,11.007261994646154,6.644721060561705,7.890430241674111,4.795565761833496,5.786955422213594,-2.6099999999999994,77869823.38441809,23.14683365455653,9.563857032218424,4.647887495695357,208.03510107774423,19.30689291962151,11.387855989696922,5.760247418874442,0.0,5.907179729351506,0.0,4.794537184071822,0.0,0.0,11.336785877934737,34.95670435274279,57.37540754200572,36.62578575304748,21.274933332975763,9.31763212104517,39.747830429599816,0.0,19.940461239773608,0.0,52.24129290913239,13.08951281182515,63.75220597637082,0.0,10.637394612575742,5.316788604006331,0.0,0.0,22.937725768167255,45.70404683523985,6.544756405912575,6.923737199690624,48.434962310699,46.98766441620462,4.336329015745631,21.540319544656796,0.0,63.300000000000004,0.0,4.794537184071822,0.0,11.949020558499466,28.377101664529068,52.96860767000498,11.336785877934737,0.0,30.33183534230805,52.84440697576869,16.124034827205865,8.357929520086008,7.532865582498279,16.844888875462694,8.625971014111103,3.5837204098811255,0.6484735212856059,14.576451991257443,1.9428484835563173,8.997961712972538,0.0,0.38461538461538464,34,1,6,0,1,1,1,3,4,6,1,8,6,0,1,1,5,5.970520000000006,137.8001999999999,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cc1cccc2cc(C(=O)NC3CCN(C(C)C)CC3)n(Cc3cc(-c4ccc(Cl)s4)on3)c12,8.84,CHEMBL3885772,13.44732749031405,-0.03485747497652203,13.44732749031405,0.03485747497652203,0.35689594339845016,497.0640000000003,467.8320000000002,496.16997484800004,178,0,0.2676718851375108,-0.35509157456229723,0.35509157456229723,0.2676718851375108,1.2352941176470589,2.0294117647058822,2.735294117647059,35.496017843604086,10.033875208005622,2.247188389553049,-2.344201777649755,2.3189292217194026,-2.464626407463953,7.1883081107002615,0.08919337578111608,1.4120248463401628,1313.557318634478,23.819261998449893,19.676036459540065,21.248461986486245,16.385050488558726,11.738582305568576,12.933043359505529,9.292177893306901,11.007261994646154,6.644721060561705,7.890430241674111,4.795565761833496,5.786955422213594,-2.6099999999999994,77869823.38441809,23.14683365455653,9.563857032218424,4.647887495695357,208.03510107774423,19.30689291962151,11.387855989696922,5.760247418874442,0.0,5.907179729351506,0.0,4.794537184071822,0.0,0.0,11.336785877934737,34.95670435274279,57.37540754200572,36.62578575304748,21.274933332975763,9.31763212104517,39.747830429599816,0.0,19.940461239773608,0.0,52.24129290913239,13.08951281182515,63.75220597637082,0.0,10.637394612575742,5.316788604006331,0.0,0.0,22.937725768167255,45.70404683523985,6.544756405912575,6.923737199690624,48.434962310699,46.98766441620462,4.336329015745631,21.540319544656796,0.0,63.300000000000004,0.0,4.794537184071822,0.0,11.949020558499466,28.377101664529068,52.96860767000498,11.336785877934737,0.0,30.33183534230805,52.84440697576869,16.124034827205865,8.357929520086008,7.532865582498279,16.844888875462694,8.625971014111103,3.5837204098811255,0.6484735212856059,14.576451991257443,1.9428484835563173,8.997961712972538,0.0,0.38461538461538464,34,1,6,0,1,1,1,3,4,6,1,8,6,0,1,1,5,5.970520000000006,137.8001999999999,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
