Smiles,pChEMBL Value,Assay ChEMBL ID
O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccccc1Cl,5.25,CHEMBL3885768
O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccccc1Cl,5.25,CHEMBL3885772
O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccccc1Cl,5.19,CHEMBL3885774
O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccccc1Cl,5.2,CHEMBL3885775
O=C(NC[C@H]1CN(c2ccc(N3CCCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,9.23,CHEMBL3885768
O=C(NC[C@H]1CN(c2ccc(N3CCCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,9.24,CHEMBL3885772
O=C(NC[C@H]1CN(c2ccc(N3CCCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,9.14,CHEMBL3885774
O=C(NC[C@H]1CN(c2ccc(N3CCCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,9.2,CHEMBL3885775
O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)cn1,7.4,CHEMBL3885768
O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)cn1,7.41,CHEMBL3885772
O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)cn1,7.33,CHEMBL3885774
O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)cn1,7.38,CHEMBL3885775
O=C(NC[C@H]1CN(c2ccc(N3CCNCC3)c(F)c2)C(=O)O1)c1ccc(Cl)s1,7.48,CHEMBL3885768
O=C(NC[C@H]1CN(c2ccc(N3CCNCC3)c(F)c2)C(=O)O1)c1ccc(Cl)s1,7.59,CHEMBL3885772
O=C(NC[C@H]1CN(c2ccc(N3CCNCC3)c(F)c2)C(=O)O1)c1ccc(Cl)s1,7.42,CHEMBL3885774
O=C(NC[C@H]1CN(c2ccc(N3CCNCC3)c(F)c2)C(=O)O1)c1ccc(Cl)s1,7.47,CHEMBL3885775
CN(C[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)C(=O)c1ccc(Cl)s1,6.62,CHEMBL3885768
CN(C[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)C(=O)c1ccc(Cl)s1,6.59,CHEMBL3885772
CN(C[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)C(=O)c1ccc(Cl)s1,6.57,CHEMBL3885774
CN(C[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)C(=O)c1ccc(Cl)s1,6.59,CHEMBL3885775
CN(C)c1ccc(N2C[C@H](CNC(=O)c3ccc(Cl)s3)OC2=O)cc1,8.33,CHEMBL3885768
CN(C)c1ccc(N2C[C@H](CNC(=O)c3ccc(Cl)s3)OC2=O)cc1,8.23,CHEMBL3885772
CN(C)c1ccc(N2C[C@H](CNC(=O)c3ccc(Cl)s3)OC2=O)cc1,8.3,CHEMBL3885774
CN(C)c1ccc(N2C[C@H](CNC(=O)c3ccc(Cl)s3)OC2=O)cc1,8.36,CHEMBL3885775
COc1ccc(NC(=O)c2ccc(C(=N)N(C)C)cc2N2CCC(C(=O)O)CC2)c(C(=O)Nc2ccc(Cl)cn2)c1,9.05,CHEMBL968695
COc1ccc(NC(=O)c2ccc(C(=N)N(C)C)cc2N2CCCCC2)c(C(=O)Nc2ccc(Cl)cn2)c1,8.7,CHEMBL968695
CN(C)C(=N)c1ccc(C(=O)Nc2ccc(OCC(=O)O)cc2C(=O)Nc2ccc(Cl)cn2)cc1,8.22,CHEMBL968695
CN(C)C(=N)c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,9.3,CHEMBL968695
CN(C)C(=N)c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)c(N2CCC(C(=O)O)CC2)c1,9.15,CHEMBL968695
N=C(c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1)N1CCC(C(=O)O)CC1,8.7,CHEMBL968695
CN1CCN=C1c1ccc(C(=O)N2CCN(S(=O)(=O)c3cc4cc(Cl)ccc4[nH]3)CC2CC(=O)N2CCCCC2)cc1,8.15,CHEMBL659609
CN1CCN=C1c1ccc(C(=O)N2CCN(S(=O)(=O)c3cc4ccc(Cl)cc4s3)CC2CC(=O)O)cc1,7.54,CHEMBL659609
C#CCN(C)C(=O)CC1CN(S(=O)(=O)c2cc3ccc(Cl)cc3s2)CCN1C(=O)c1ccc(C2=NCCN2C)cc1,7.72,CHEMBL659609
N=C(c1ccc(C(=O)N2CCN(S(=O)(=O)c3cc4cc(Cl)ccc4[nH]3)CC2)cc1)N1CCCC1,7.08,CHEMBL659609
CN(C)C(=O)CC1CN(S(=O)(=O)c2cc3ccc(Cl)cc3s2)CCN1C(=O)c1ccc(C2=NCCN2C)cc1,8.15,CHEMBL659609
CN1CCN=C1c1ccc(C(=O)N2CCN(S(=O)(=O)c3cc4cc(Cl)ccc4[nH]3)CC2CC(=O)O)cc1,7.39,CHEMBL659609
CN(C)C(=N)c1ccc(C(=O)N2CCN(S(=O)(=O)c3cc4cc(Cl)ccc4[nH]3)CC2)cc1,7.7,CHEMBL659609
CN1CCN=C1c1ccc(C(=O)N2CCN(S(=O)(=O)c3cc4cc(Cl)ccc4[nH]3)CC2CC(N)=O)cc1,7.75,CHEMBL659609
