smiles,value,assay,MaxEStateIndex,MinEStateIndex,MinAbsEStateIndex,qed,MolWt,MaxPartialCharge,MinPartialCharge,FpDensityMorgan1,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,HallKierAlpha,Ipc,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHeteroatoms,NumRotatableBonds,RingCount,MolLogP,fr_Al_COO,fr_Al_OH,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_C_O,fr_C_O_noCOO,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_Ndealkylation1,fr_Ndealkylation2,fr_alkyl_halide,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_bicyclic,fr_ester,fr_ether,fr_furan,fr_halogen,fr_imidazole,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_para_hydroxylation,fr_piperdine,fr_piperzine,fr_priamide,fr_pyridine,fr_sulfide,fr_sulfone,fr_term_acetylene,fr_thiazole,fr_thiophene,fr_unbrch_alkane,fr_urea
N=C(N)c1cccc(CN2CC[C@H](NS(=O)(=O)c3ccc(-c4ccncc4)s3)C2=O)c1,0.47702407002188174,CHEMBL3885768,0.24019211436796134,0.2573285814050793,0.11535760719232382,0.3431758494074723,0.23189400321666562,0.028575331603992,0.7850209843639511,0.7429931253305131,0.2524464005347643,0.5996823638674369,0.7209198465301869,0.7265841491069253,0.5594966051843587,0.4106097890192066,0.6217120038187789,0.6728585720581624,0.7260979676605593,0.35866711412347807,0.6419354838709679,0.00012165675272432276,0.21972450014367959,0.4521771607133973,0.0,0.2946726598550049,0.5636234879704973,0.0,0.5337278322557599,0.23156647087792812,0.2639023716354247,0.6383276582161783,0.25,0.607264416446844,0.28136715344026186,0.0,0.1870297377359811,0.2882724535469963,0.5069060833898689,0.47934620152423696,0.4920938331363397,0.37602888805801593,0.09237431811468445,0.4283813576453494,0.36794492855371924,0.39218971985214257,0.0,0.0,0.3267121919669895,0.2377207907043835,0.5782055749428552,0.2066150224991417,0.32966164951530047,0.0,0.47675378548074177,0.5078024877497174,0.20973965172976783,0.2090290828295615,0.0,0.21462839638766432,0.3062129739008731,0.4620937431471001,0.0,0.5177982551152204,0.27757942885455394,0.18367267116555827,0.2925819475796964,0.27261893399442677,0.18014645228781825,0.28022706666177355,0.5943384712827529,0.6551311975164335,0.440658702053508,0.7305798782773896,0.221198410732577,0.2562598500171641,0.3809523809523808,0.5,0.375,0.0,0.3333333333333333,0.25,0.5,0.3333333333333333,0.3333333333333333,0.35714285714285715,0.3333333333333333,0.25,0.2865225954117206,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.2857142857142857,0.6666666666666666,0.0,1.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
N=C(N)c1cccc(CN2CC[C@H](NS(=O)(=O)c3ccc(-c4ccncc4)s3)C2=O)c1,0.4901531728665206,CHEMBL3885772,0.24019211436796134,0.2573285814050793,0.11535760719232382,0.3431758494074723,0.23189400321666562,0.028575331603992,0.7850209843639511,0.7429931253305131,0.2524464005347643,0.5996823638674369,0.7209198465301869,0.7265841491069253,0.5594966051843587,0.4106097890192066,0.6217120038187789,0.6728585720581624,0.7260979676605593,0.35866711412347807,0.6419354838709679,0.00012165675272432276,0.21972450014367959,0.4521771607133973,0.0,0.2946726598550049,0.5636234879704973,0.0,0.5337278322557599,0.23156647087792812,0.2639023716354247,0.6383276582161783,0.25,0.607264416446844,0.28136715344026186,0.0,0.1870297377359811,0.2882724535469963,0.5069060833898689,0.47934620152423696,0.4920938331363397,0.37602888805801593,0.09237431811468445,0.4283813576453494,0.36794492855371924,0.39218971985214257,0.0,0.0,0.3267121919669895,0.2377207907043835,0.5782055749428552,0.2066150224991417,0.32966164951530047,0.0,0.47675378548074177,0.5078024877497174,0.20973965172976783,0.2090290828295615,0.0,0.21462839638766432,0.3062129739008731,0.4620937431471001,0.0,0.5177982551152204,0.27757942885455394,0.18367267116555827,0.2925819475796964,0.27261893399442677,0.18014645228781825,0.28022706666177355,0.5943384712827529,0.6551311975164335,0.440658702053508,0.7305798782773896,0.221198410732577,0.2562598500171641,0.3809523809523808,0.5,0.375,0.0,0.3333333333333333,0.25,0.5,0.3333333333333333,0.3333333333333333,0.35714285714285715,0.3333333333333333,0.25,0.2865225954117206,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.2857142857142857,0.6666666666666666,0.0,1.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
N=C(N)c1cccc(CN2CC[C@H](NS(=O)(=O)c3ccc(-c4ccncc4)s3)C2=O)c1,0.44638949671772427,CHEMBL3885774,0.24019211436796134,0.2573285814050793,0.11535760719232382,0.3431758494074723,0.23189400321666562,0.028575331603992,0.7850209843639511,0.7429931253305131,0.2524464005347643,0.5996823638674369,0.7209198465301869,0.7265841491069253,0.5594966051843587,0.4106097890192066,0.6217120038187789,0.6728585720581624,0.7260979676605593,0.35866711412347807,0.6419354838709679,0.00012165675272432276,0.21972450014367959,0.4521771607133973,0.0,0.2946726598550049,0.5636234879704973,0.0,0.5337278322557599,0.23156647087792812,0.2639023716354247,0.6383276582161783,0.25,0.607264416446844,0.28136715344026186,0.0,0.1870297377359811,0.2882724535469963,0.5069060833898689,0.47934620152423696,0.4920938331363397,0.37602888805801593,0.09237431811468445,0.4283813576453494,0.36794492855371924,0.39218971985214257,0.0,0.0,0.3267121919669895,0.2377207907043835,0.5782055749428552,0.2066150224991417,0.32966164951530047,0.0,0.47675378548074177,0.5078024877497174,0.20973965172976783,0.2090290828295615,0.0,0.21462839638766432,0.3062129739008731,0.4620937431471001,0.0,0.5177982551152204,0.27757942885455394,0.18367267116555827,0.2925819475796964,0.27261893399442677,0.18014645228781825,0.28022706666177355,0.5943384712827529,0.6551311975164335,0.440658702053508,0.7305798782773896,0.221198410732577,0.2562598500171641,0.3809523809523808,0.5,0.375,0.0,0.3333333333333333,0.25,0.5,0.3333333333333333,0.3333333333333333,0.35714285714285715,0.3333333333333333,0.25,0.2865225954117206,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.2857142857142857,0.6666666666666666,0.0,1.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
N=C(N)c1cccc(CN2CC[C@H](NS(=O)(=O)c3ccc(-c4ccncc4)s3)C2=O)c1,0.4529540481400436,CHEMBL3885775,0.24019211436796134,0.2573285814050793,0.11535760719232382,0.3431758494074723,0.23189400321666562,0.028575331603992,0.7850209843639511,0.7429931253305131,0.2524464005347643,0.5996823638674369,0.7209198465301869,0.7265841491069253,0.5594966051843587,0.4106097890192066,0.6217120038187789,0.6728585720581624,0.7260979676605593,0.35866711412347807,0.6419354838709679,0.00012165675272432276,0.21972450014367959,0.4521771607133973,0.0,0.2946726598550049,0.5636234879704973,0.0,0.5337278322557599,0.23156647087792812,0.2639023716354247,0.6383276582161783,0.25,0.607264416446844,0.28136715344026186,0.0,0.1870297377359811,0.2882724535469963,0.5069060833898689,0.47934620152423696,0.4920938331363397,0.37602888805801593,0.09237431811468445,0.4283813576453494,0.36794492855371924,0.39218971985214257,0.0,0.0,0.3267121919669895,0.2377207907043835,0.5782055749428552,0.2066150224991417,0.32966164951530047,0.0,0.47675378548074177,0.5078024877497174,0.20973965172976783,0.2090290828295615,0.0,0.21462839638766432,0.3062129739008731,0.4620937431471001,0.0,0.5177982551152204,0.27757942885455394,0.18367267116555827,0.2925819475796964,0.27261893399442677,0.18014645228781825,0.28022706666177355,0.5943384712827529,0.6551311975164335,0.440658702053508,0.7305798782773896,0.221198410732577,0.2562598500171641,0.3809523809523808,0.5,0.375,0.0,0.3333333333333333,0.25,0.5,0.3333333333333333,0.3333333333333333,0.35714285714285715,0.3333333333333333,0.25,0.2865225954117206,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.2857142857142857,0.6666666666666666,0.0,1.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
O=C1[C@@H](NS(=O)(=O)c2cc3ncccc3s2)CCN1Cc1cc2ccncc2[nH]1,0.5273522975929976,CHEMBL3885768,0.2204478595816933,0.2626228441180419,0.48802238592688957,0.5244447020690329,0.14595083097189307,0.028821582768034773,0.878644944387999,0.8168456755228942,0.25244634187258075,1.0,0.7293053827336621,0.7705952566351717,0.43997476290995524,0.4103538952452303,0.6220222823928869,0.6728019066197057,0.6610458588833524,0.3884797245565208,0.7258064516129034,6.625343733058138e-05,0.19099506443369285,0.28814452122029355,0.0,0.2946726598550049,0.5636234879704973,0.0,0.511887032109162,0.23156647087792812,0.2639023716354247,0.6383276582161783,0.0,0.3807402144247298,0.22481220817926018,0.6072509056978895,0.1870297377359811,0.5705130213066266,0.0,0.8064794254202043,0.0,0.37602888805801593,0.09237431811468445,0.22030588923774913,0.0,0.1771231022183678,0.0,0.0,0.3267121919669895,0.27504215603120846,0.5782055749428552,0.0,0.22759465583486474,0.0,0.9643913725354288,0.3480588013569542,0.20973965172976783,0.2090290828295615,0.0,0.09406369146658396,0.3054990152651806,0.5515472632731481,0.12498081508538496,0.32135064492577475,0.27757942885455394,0.37230109207801415,0.0,0.2790303553104122,0.3583953506470243,0.03808567418871187,0.24619172024929087,0.664349499505728,0.2716419660655425,0.8621475902610684,0.2317106299530506,0.25808086256221674,0.4210526315789472,0.25,0.375,0.0,0.3333333333333333,0.0,1.0,0.6666666666666666,0.3333333333333333,0.35714285714285715,0.1111111111111111,0.5,0.3004382463050688,0.0,0.0,0.0,0.6,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.42857142857142855,0.6666666666666666,0.0,1.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
O=C1[C@@H](NS(=O)(=O)c2cc3ncccc3s2)CCN1Cc1cc2ccncc2[nH]1,0.5448577680525162,CHEMBL3885772,0.2204478595816933,0.2626228441180419,0.48802238592688957,0.5244447020690329,0.14595083097189307,0.028821582768034773,0.878644944387999,0.8168456755228942,0.25244634187258075,1.0,0.7293053827336621,0.7705952566351717,0.43997476290995524,0.4103538952452303,0.6220222823928869,0.6728019066197057,0.6610458588833524,0.3884797245565208,0.7258064516129034,6.625343733058138e-05,0.19099506443369285,0.28814452122029355,0.0,0.2946726598550049,0.5636234879704973,0.0,0.511887032109162,0.23156647087792812,0.2639023716354247,0.6383276582161783,0.0,0.3807402144247298,0.22481220817926018,0.6072509056978895,0.1870297377359811,0.5705130213066266,0.0,0.8064794254202043,0.0,0.37602888805801593,0.09237431811468445,0.22030588923774913,0.0,0.1771231022183678,0.0,0.0,0.3267121919669895,0.27504215603120846,0.5782055749428552,0.0,0.22759465583486474,0.0,0.9643913725354288,0.3480588013569542,0.20973965172976783,0.2090290828295615,0.0,0.09406369146658396,0.3054990152651806,0.5515472632731481,0.12498081508538496,0.32135064492577475,0.27757942885455394,0.37230109207801415,0.0,0.2790303553104122,0.3583953506470243,0.03808567418871187,0.24619172024929087,0.664349499505728,0.2716419660655425,0.8621475902610684,0.2317106299530506,0.25808086256221674,0.4210526315789472,0.25,0.375,0.0,0.3333333333333333,0.0,1.0,0.6666666666666666,0.3333333333333333,0.35714285714285715,0.1111111111111111,0.5,0.3004382463050688,0.0,0.0,0.0,0.6,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.42857142857142855,0.6666666666666666,0.0,1.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
O=C1[C@@H](NS(=O)(=O)c2cc3ncccc3s2)CCN1Cc1cc2ccncc2[nH]1,0.5273522975929976,CHEMBL3885774,0.2204478595816933,0.2626228441180419,0.48802238592688957,0.5244447020690329,0.14595083097189307,0.028821582768034773,0.878644944387999,0.8168456755228942,0.25244634187258075,1.0,0.7293053827336621,0.7705952566351717,0.43997476290995524,0.4103538952452303,0.6220222823928869,0.6728019066197057,0.6610458588833524,0.3884797245565208,0.7258064516129034,6.625343733058138e-05,0.19099506443369285,0.28814452122029355,0.0,0.2946726598550049,0.5636234879704973,0.0,0.511887032109162,0.23156647087792812,0.2639023716354247,0.6383276582161783,0.0,0.3807402144247298,0.22481220817926018,0.6072509056978895,0.1870297377359811,0.5705130213066266,0.0,0.8064794254202043,0.0,0.37602888805801593,0.09237431811468445,0.22030588923774913,0.0,0.1771231022183678,0.0,0.0,0.3267121919669895,0.27504215603120846,0.5782055749428552,0.0,0.22759465583486474,0.0,0.9643913725354288,0.3480588013569542,0.20973965172976783,0.2090290828295615,0.0,0.09406369146658396,0.3054990152651806,0.5515472632731481,0.12498081508538496,0.32135064492577475,0.27757942885455394,0.37230109207801415,0.0,0.2790303553104122,0.3583953506470243,0.03808567418871187,0.24619172024929087,0.664349499505728,0.2716419660655425,0.8621475902610684,0.2317106299530506,0.25808086256221674,0.4210526315789472,0.25,0.375,0.0,0.3333333333333333,0.0,1.0,0.6666666666666666,0.3333333333333333,0.35714285714285715,0.1111111111111111,0.5,0.3004382463050688,0.0,0.0,0.0,0.6,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.42857142857142855,0.6666666666666666,0.0,1.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
O=C1[C@@H](NS(=O)(=O)c2cc3ncccc3s2)CCN1Cc1cc2ccncc2[nH]1,0.5273522975929976,CHEMBL3885775,0.2204478595816933,0.2626228441180419,0.48802238592688957,0.5244447020690329,0.14595083097189307,0.028821582768034773,0.878644944387999,0.8168456755228942,0.25244634187258075,1.0,0.7293053827336621,0.7705952566351717,0.43997476290995524,0.4103538952452303,0.6220222823928869,0.6728019066197057,0.6610458588833524,0.3884797245565208,0.7258064516129034,6.625343733058138e-05,0.19099506443369285,0.28814452122029355,0.0,0.2946726598550049,0.5636234879704973,0.0,0.511887032109162,0.23156647087792812,0.2639023716354247,0.6383276582161783,0.0,0.3807402144247298,0.22481220817926018,0.6072509056978895,0.1870297377359811,0.5705130213066266,0.0,0.8064794254202043,0.0,0.37602888805801593,0.09237431811468445,0.22030588923774913,0.0,0.1771231022183678,0.0,0.0,0.3267121919669895,0.27504215603120846,0.5782055749428552,0.0,0.22759465583486474,0.0,0.9643913725354288,0.3480588013569542,0.20973965172976783,0.2090290828295615,0.0,0.09406369146658396,0.3054990152651806,0.5515472632731481,0.12498081508538496,0.32135064492577475,0.27757942885455394,0.37230109207801415,0.0,0.2790303553104122,0.3583953506470243,0.03808567418871187,0.24619172024929087,0.664349499505728,0.2716419660655425,0.8621475902610684,0.2317106299530506,0.25808086256221674,0.4210526315789472,0.25,0.375,0.0,0.3333333333333333,0.0,1.0,0.6666666666666666,0.3333333333333333,0.35714285714285715,0.1111111111111111,0.5,0.3004382463050688,0.0,0.0,0.0,0.6,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.42857142857142855,0.6666666666666666,0.0,1.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Cc1cccc2cc(C(=O)NC3CCN(C(C)C)CC3)n(Cc3cc(-c4ccc(Cl)s4)on3)c12,0.8074398249452952,CHEMBL3885768,0.41536124990457474,1.0,0.10174658391955245,0.32391568872555154,0.3590258099103938,0.0809480760805731,0.8805232271422794,0.7569913211186116,0.303378886653494,0.42511485657817516,0.38367706265706153,0.21781701101068665,0.6285998266943104,0.2821165320198692,0.39236467099354144,0.9815559341850609,0.7120268991848031,0.42976535136587574,0.7935483870967742,0.0007349250823637795,0.5521016334379182,0.320099688591164,0.3264089766644316,0.0,0.33216886471404367,0.0,0.0,0.0,0.0,0.6383276582161783,0.48019822460242767,0.8005831954299758,0.2880901811702544,0.45370529336111565,0.10049580209548238,0.4109814737072766,0.0,0.6544156785511172,0.0,0.8461289312624223,0.1847486362293689,0.329335644915438,0.3748803606632052,0.19942972735896874,0.0,0.0,0.6610369768949748,0.26547439275939466,0.17714217104333188,0.26446165916695275,0.909927066202401,0.4261437184564038,0.9836053652500073,0.010704862419901956,0.0,0.0,0.0,0.13192673247342393,0.35665985620380325,0.895234591153614,0.2335633046076251,0.0,0.46263238142425656,1.0,0.4233709254816392,0.08021240006693416,0.11820562087534066,0.32043502016146064,0.3206213580857948,0.7606682519365889,0.4851992706383676,0.6028981867103508,1.0,0.5140629483568699,0.7692307692307692,0.125,0.125,0.0,0.3333333333333333,0.25,0.75,0.6666666666666666,0.3333333333333333,0.21428571428571427,0.2222222222222222,0.5,0.9602065257891098,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.42857142857142855,0.3333333333333333,0.0,1.0,0.0,0.25,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Cc1cccc2cc(C(=O)NC3CCN(C(C)C)CC3)n(Cc3cc(-c4ccc(Cl)s4)on3)c12,0.8074398249452952,CHEMBL3885772,0.41536124990457474,1.0,0.10174658391955245,0.32391568872555154,0.3590258099103938,0.0809480760805731,0.8805232271422794,0.7569913211186116,0.303378886653494,0.42511485657817516,0.38367706265706153,0.21781701101068665,0.6285998266943104,0.2821165320198692,0.39236467099354144,0.9815559341850609,0.7120268991848031,0.42976535136587574,0.7935483870967742,0.0007349250823637795,0.5521016334379182,0.320099688591164,0.3264089766644316,0.0,0.33216886471404367,0.0,0.0,0.0,0.0,0.6383276582161783,0.48019822460242767,0.8005831954299758,0.2880901811702544,0.45370529336111565,0.10049580209548238,0.4109814737072766,0.0,0.6544156785511172,0.0,0.8461289312624223,0.1847486362293689,0.329335644915438,0.3748803606632052,0.19942972735896874,0.0,0.0,0.6610369768949748,0.26547439275939466,0.17714217104333188,0.26446165916695275,0.909927066202401,0.4261437184564038,0.9836053652500073,0.010704862419901956,0.0,0.0,0.0,0.13192673247342393,0.35665985620380325,0.895234591153614,0.2335633046076251,0.0,0.46263238142425656,1.0,0.4233709254816392,0.08021240006693416,0.11820562087534066,0.32043502016146064,0.3206213580857948,0.7606682519365889,0.4851992706383676,0.6028981867103508,1.0,0.5140629483568699,0.7692307692307692,0.125,0.125,0.0,0.3333333333333333,0.25,0.75,0.6666666666666666,0.3333333333333333,0.21428571428571427,0.2222222222222222,0.5,0.9602065257891098,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.42857142857142855,0.3333333333333333,0.0,1.0,0.0,0.25,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
